n_samples,eps,precision,recall,f1
2,0.1,0.2631578947368421,0.15186403508771928,0.17365085333448368
2,0.2,0.2631578947368421,0.21271929824561403,0.22659203134104394
2,0.30000000000000004,0.3157894736842105,0.2275219298245614,0.24101758583461674
2,0.4,0.3157894736842105,0.2362938596491228,0.24965025170576086
2,0.5,0.42105263157894735,0.24890350877192982,0.2644912217057128
2,0.6,0.5789473684210527,0.27576754385964913,0.3057519311570955
2,0.7000000000000001,0.7368421052631579,0.30701754385964913,0.3515663536063288
2,0.8,0.8421052631578947,0.3508771929824561,0.4125726334305996
2,0.9,0.9473684210526315,0.39418859649122806,0.4641102847816227
2,1.0,0.9473684210526315,0.4440789473684211,0.5237881318674245
2,1.1,0.9462116830537883,0.49122807017543857,0.5773988866311653
2,1.2000000000000002,0.9446271929824561,0.5383771929824561,0.626642284524912
2,1.3000000000000003,0.9441460794844253,0.5866228070175439,0.6704086284010118
2,1.4000000000000001,0.9338139026231074,0.618421052631579,0.695449302137158
2,1.5000000000000002,0.9312470365101944,0.6469298245614035,0.7185176815087743
2,1.6,0.9226198310796159,0.6710526315789473,0.7343252819341147
2,1.7000000000000002,0.9227366437361407,0.6935307017543859,0.7527620536944124
2,1.8000000000000003,0.9214982536432614,0.7099780701754386,0.76615107416205
2,1.9000000000000001,0.9113685816371594,0.7066885964912281,0.7564491056411536
2,2.0,0.9024800526274066,0.7088815789473685,0.7558392340126155
2,2.1,0.8950665829766685,0.6946271929824561,0.732968813989392
2,2.2,0.8917796238355036,0.6984649122807017,0.728556963712617
2,2.3000000000000003,0.8650545801844767,0.6902412280701754,0.7241946658158936
2,2.4000000000000004,0.8756400431684193,0.6831140350877193,0.7068487931917329
2,2.5000000000000004,0.8717850291076835,0.6787280701754386,0.6981728903045398
2,2.6,0.8527920911900395,0.6524122807017544,0.6822887113203432
2,2.7,0.8613630260328455,0.6414473684210527,0.6672254007517592
2,2.8000000000000003,0.8615698911143406,0.6288377192982456,0.6553088882254209
